payload_number;adc_time;sg_1;sg_2;sg_3;sg_4
288;38;1639;1641;1646;1640
289;38;1644;1645;1638;1637
290;38;1637;1636;1634;1638
291;38;1638;1643;1642;1637
292;37;1642;1639;1638;1640
293;44;1640;1637;1640;1640
294;38;1641;1642;1639;1639
295;37;1645;1642;1637;1637
296;38;1640;1640;1641;1638
297;37;1640;1640;1638;1636
298;37;1636;1635;1637;1634
299;38;1638;1637;1638;1634
300;38;1633;1635;1637;1637
301;37;1642;1637;1639;1641
302;38;1642;1643;1641;1637
303;38;1640;1639;1638;1635
304;44;1639;1636;1637;1638
305;38;1640;1639;1636;1635
306;38;1644;1640;1638;1636
307;38;1639;1638;1642;1635
308;38;1637;1644;1639;1639
309;38;1642;1638;1638;1640
310;37;1640;1640;1645;1641
311;38;1640;1637;1638;1638
312;37;1637;1636;1638;1638
313;38;1637;1643;1645;1639
314;38;1646;1642;1638;1638
315;44;1639;1636;1640;1638
316;37;1635;1628;1626;1631
317;38;1637;1635;1631;1635
318;38;1638;1642;1640;1636
319;38;1642;1645;1639;1637
320;38;1637;1633;1635;1634
321;38;1639;1638;1642;1638
322;38;1638;1636;1636;1636
323;38;1638;1637;1636;1636
324;38;1638;1639;1635;1631
325;37;1639;1638;1637;1639
326;44;1639;1638;1638;1640
327;38;1639;1642;1639;1638
328;38;1642;1638;1637;1637
329;38;1638;1641;1641;1637
330;38;1639;1643;1638;1637
331;38;1637;1636;1636;1638
332;38;1639;1638;1643;1639
333;38;1638;1638;1637;1638
334;37;1636;1637;1638;1640
335;38;1639;1643;1641;1638
336;38;1630;1633;1634;1637
337;44;1637;1630;1630;1638
338;38;1640;1644;1639;1638
339;38;1635;1635;1633;1633
340;38;1637;1638;1639;1638
341;38;1638;1643;1635;1635
342;38;1638;1637;1635;1639
343;38;1639;1640;1643;1641
344;38;1640;1638;1637;1637
345;38;1636;1636;1636;1637
346;38;1637;1632;1630;1634
347;38;1634;1633;1628;1632
348;44;1635;1634;1638;1639
349;38;1636;1644;1638;1632
350;37;1638;1636;1636;1636
351;38;1640;1639;1644;1642
