payload_number;time_stamp;time_adc;time_tx;sg_1;sg_2;sg_3;sg_4
400;2460574;8;82;2170;0;0;0
401;2461574;9;81;2224;0;0;0
402;2462574;8;82;2225;0;0;0
403;2463574;7;81;2203;0;0;0
404;2464574;7;81;2200;0;0;0
405;2465574;9;81;2186;0;0;0
406;2466574;8;81;2214;0;0;0
407;2467574;7;81;2265;0;0;0
408;2468574;8;81;2277;0;0;0
409;2469574;9;86;2230;0;0;0
410;2470574;8;81;2229;0;0;0
411;2471574;7;81;2226;0;0;0
412;2472574;8;81;2195;0;0;0
413;2473574;9;81;2189;0;0;0
414;2474574;8;81;2192;0;0;0
415;2475574;7;81;2181;0;0;0
416;2476574;7;81;2197;0;0;0
417;2477574;9;81;2136;0;0;0
418;2478574;7;81;2190;0;0;0
419;2479574;8;81;2223;0;0;0
420;2480574;7;87;2233;0;0;0
421;2481574;9;81;2215;0;0;0
422;2482574;7;81;2198;0;0;0
423;2483574;8;81;2202;0;0;0
424;2484574;8;81;2130;0;0;0
425;2485574;9;81;2169;0;0;0
426;2486574;8;82;2259;0;0;0
427;2487574;8;81;2188;0;0;0
428;2488574;7;81;2220;0;0;0
429;2489574;9;81;2219;0;0;0
430;2490574;8;81;2215;0;0;0
431;2491574;7;87;2194;0;0;0
432;2492574;8;81;2156;0;0;0
433;2493574;9;81;2186;0;0;0
434;2494574;8;81;2184;0;0;0
435;2495574;8;81;2137;0;0;0
436;2496574;8;81;2196;0;0;0
437;2497574;9;81;2227;0;0;0
438;2498574;8;82;2224;0;0;0
439;2499574;7;81;2191;0;0;0
440;2500574;8;81;2186;0;0;0
441;2501574;9;81;2202;0;0;0
442;2502574;7;87;2187;0;0;0
443;2503574;8;82;2185;0;0;0
444;2504574;8;82;2218;0;0;0
445;2505574;9;81;2227;0;0;0
446;2506574;8;82;2257;0;0;0
447;2507574;7;81;2215;0;0;0
448;2508574;7;81;2208;0;0;0
449;2509574;9;81;2185;0;0;0
450;2510574;8;81;2204;0;0;0
451;2511574;7;81;2190;0;0;0
452;2512574;8;81;2222;0;0;0
453;2513574;9;86;2224;0;0;0
454;2514574;7;81;2223;0;0;0
455;2515574;7;81;2221;0;0;0
456;2516574;7;81;2191;0;0;0
457;2517574;9;81;2193;0;0;0
458;2518574;8;82;2228;0;0;0
459;2519574;8;81;2212;0;0;0
460;2520574;8;81;2193;0;0;0
461;2521574;9;81;2279;0;0;0
462;2522574;7;81;2178;0;0;0
463;2523574;7;81;2217;0;0;0
464;2524574;8;87;2232;0;0;0
465;2525574;9;81;2208;0;0;0
466;2526574;8;81;2196;0;0;0
467;2527574;7;81;2199;0;0;0
468;2528574;8;81;2127;0;0;0
469;2529574;9;81;2175;0;0;0
470;2530574;8;81;2166;0;0;0
471;2531574;8;81;2209;0;0;0
472;2532574;8;82;2229;0;0;0
473;2533574;9;81;2224;0;0;0
474;2534574;8;81;2219;0;0;0
475;2535574;7;87;2199;0;0;0
476;2536574;8;82;2160;0;0;0
477;2537574;9;81;2190;0;0;0
478;2538574;7;81;2178;0;0;0
479;2539574;8;81;2123;0;0;0
480;2540574;8;82;2184;0;0;0
481;2541574;9;81;2269;0;0;0
482;2542574;8;81;2233;0;0;0
483;2543574;7;81;2190;0;0;0
484;2544574;7;81;2195;0;0;0
485;2545574;9;81;2197;0;0;0
486;2546574;7;87;2186;0;0;0
487;2547574;7;81;2172;0;0;0
488;2548574;7;81;2239;0;0;0
489;2549574;9;81;2232;0;0;0
490;2550574;8;81;2223;0;0;0
491;2551574;7;81;2192;0;0;0
492;2552574;7;81;2193;0;0;0
493;2553574;9;81;2184;0;0;0
494;2554574;8;81;2195;0;0;0
495;2555574;7;81;2165;0;0;0
496;2556574;8;81;2210;0;0;0
497;2557574;9;86;2221;0;0;0
498;2558574;7;81;2222;0;0;0
499;2559574;8;81;2219;0;0;0
500;2560574;7;81;2188;0;0;0
501;2561574;9;81;2192;0;0;0
502;2562574;8;81;2185;0;0;0
503;2563574;8;81;2186;0;0;0
504;2564574;8;81;2118;0;0;0
505;2565574;9;81;2169;0;0;0
506;2566574;7;81;2114;0;0;0
507;2567574;8;81;2165;0;0;0
508;2568574;7;87;2211;0;0;0
509;2569574;9;81;2214;0;0;0
510;2570574;8;81;2242;0;0;0
511;2571574;7;81;2253;0;0;0
512;2572574;8;81;2230;0;0;0
513;2573574;9;81;2273;0;0;0
514;2574574;7;81;2182;0;0;0
515;2575574;7;81;2217;0;0;0
516;2576574;7;81;2233;0;0;0
517;2577574;9;81;2226;0;0;0
518;2578574;7;81;2224;0;0;0
519;2579574;8;87;2199;0;0;0
520;2580574;7;81;2159;0;0;0
521;2581574;9;81;2186;0;0;0
522;2582574;8;82;2176;0;0;0
523;2583574;8;81;2124;0;0;0
524;2584574;7;81;2189;0;0;0
525;2585574;9;81;2222;0;0;0
526;2586574;7;81;2255;0;0;0
527;2587574;7;81;2229;0;0;0
528;2588574;8;81;2238;0;0;0
